中文,英文,日文
一樓,The First Floor,一階
二樓,The Second Floor,二階
三樓,The Third Floor,三階
圓廳,The Circular Room,円形ホール
會客廳,The Reception Room,応接ホール
樓史室,The History Room,中山楼史料展示室
樓史室外走廊,The Corridor outside the History Room,中山楼史料展示ギャラリー
憲政發展走廊,The Constitutionalism Corridor,憲政発展ギャラリー
文化堂,The Culture Hall,文化堂
文化堂後川堂,The Concourse behind the Culture Hall,文化堂正面入口
西廂房,The West-Wing Room,西側の部屋
會議廳,The Conference Room,会議ホール
走廊,The Corridor,廊下
國宴廳,The State Banquet Room,国宴ホール
國宴廳外走廊,The Corridor outside the State Banquet Room,国宴ホール前通路